Element;Arbeiterkammer;Burschenschaften;Christlicher Verbindungen;Landwirtschaftskammer;ÖGB;Raiffeisen;St.Georgs-Orden;Wirtschaftskammer;SPÖ;ÖVP;NEOS;GRÜNE;FPÖ
Silvan;1;0;0;0;1;0;0;0;1;0;0;0;0
Singer;0;0;0;0;0;0;0;0;0;1;0;0;0
Smodics-Neumann;0;0;0;0;0;0;0;1;0;1;0;0;0
Smolle;0;0;0;0;0;0;0;0;0;1;0;0;0
Sobotka;0;0;1;0;0;0;0;0;0;1;0;0;0
Stammler;0;0;0;1;0;0;0;0;0;0;0;1;0
Stark;0;0;0;0;0;0;0;0;0;1;0;0;0
Stefan;0;1;0;0;0;0;0;0;0;0;0;0;1
Steger;0;0;0;0;0;0;0;0;0;0;0;0;1
Steinacker;0;0;1;0;0;1;0;0;0;1;0;0;0
Stocker;0;0;1;0;0;0;0;0;0;1;0;0;0
Strasser;0;0;0;1;0;0;0;0;0;1;0;0;0
Stöger;0;0;0;0;1;0;0;0;1;0;0;0;0
Stögmüller;0;0;0;0;0;0;0;0;0;0;0;1;0
Taschner;0;0;0;0;0;0;0;0;0;1;0;0;0
Tomaselli;0;0;0;0;0;0;0;0;0;0;0;1;0
Totter;0;0;0;0;1;0;0;0;0;1;0;0;0
Troch;0;0;0;0;0;0;0;0;1;0;0;0;0
Voglauer;0;0;0;0;0;0;0;0;0;0;0;1;0
Vorderwinkler;0;0;0;0;1;0;0;0;1;0;0;0;0
Weber;0;0;0;0;0;0;0;0;0;1;0;0;0
Weidinger;0;0;1;0;0;0;0;0;0;1;0;0;0
Weratschnig;0;0;0;0;0;0;0;1;0;0;0;1;0
Werner;0;0;0;0;0;0;0;0;0;0;1;0;0
Wimmer(1);0;0;0;0;1;0;0;0;1;0;0;0;0
Wimmer(2);0;0;0;0;0;0;0;0;1;0;0;0;0
Wurm;0;0;0;0;0;0;0;1;0;0;0;0;1
Wöginger;0;0;0;0;1;0;0;0;0;1;0;0;0
Yildrim;0;0;0;0;0;0;0;0;1;0;0;0;0
Yilmaz;0;0;0;0;0;0;0;0;1;0;0;0;0
Zanger;0;1;0;0;0;0;0;0;0;0;0;0;1
Zarits;1;0;0;1;0;0;0;0;0;1;0;0;0
Zopf;0;0;0;1;1;0;0;0;0;1;0;0;0
Zorba;0;0;0;0;0;0;0;0;0;0;0;1;0
